Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
8b63ceff,Ford Mustang Mach-E,NMC,88.0,68.0,1714.0,46.46,0.907,2.65,Aggressive,0.055,46.72,Unhealthy
43c8dfb1,BYD Atto 3,LFP,60.0,93.0,1674.0,35.25,0.972,2.54,Aggressive,0.08,53.21,Unhealthy
cf5532ca,Hyundai Ioniq 5,NMC,72.6,20.0,81.0,15.5,0.66,1.65,Conservative,0.012,97.68,
ca1068b2,Wuling Air EV,LFP,,107.0,1135.0,38.93,0.866,2.65,Aggressive,0.086,43.19,Unhealthy
c3c3dafe,Ford Mustang Mach-E,nmc,88.0,81.0,1637.0,40.98,0.93,2.27,Aggressive,0.109,37.4,Unhealthy
89160ca6,Tesla Model 3,NMC,75.0,89.0,1503.0,46.56,0.869,2.79,Aggressive,0.114,41.53,
56db8b35,Ford Mustang Mach-E, NMC ,88.0,40.0,383.0,32.6,0.39,0.8,Moderate,0.043,97.69,Healthy
44374f4e,BYD Atto 3,LFP,60.0,,1262.0,41.23,0.956,2.89,Aggressive,0.101,49.6,Unhealthy
252f5912,Tesla Model 3,NMC,75.0,45.0,499.0,28.6,0.93,2.39,Moderate,0.015,96.65,Healthy
,Tesla Model 3,NMC,75.0,107.0,1484.0,46.96,0.936,3.48,,0.052,56.22,Unhealthy
267398e3,TESLA MODEL 3,NMC,75.0,108.0,1299.0,41.03,0.866,3.44,Moderate,0.097,60.17,Unhealthy
e0b901d0,BYD Atto 3,LFP,60.0,108.0,1856.0,35.11,0.975,2.64,Moderate,,,Unhealthy
7f304694,Ford Mustang Mach-E,NMC,88.0,30.0,343.0,20.3,,1.3,Conservative,0.011,,Healthy
e44f17c7,BYD Atto 3,LFP,60.0,91.0,1359.0,49.45,,2.1,Aggressive,0.054,40.79,Unhealthy
45f20364,Tesla Model 3,NMC,75.0,58.0,785.0,31.1,,1.47,Conservative,0.025,85.86,Healthy
d1fb81b9,Tesla Model 3,NMC,75.0,115.0,1227.0,45.72,0.937,2.38,,0.094,53.07,Unhealthy
3ae6eb61,BYD Atto 3,LFP,60.0,21.0,236.0,,0.19,1.05,Conservative,0.017,94.71,Healthy
ba366537,Ford Mustang Mach-E,NMC,88.0,54.0,731.0,13.8,0.38,,,0.016,87.36,Healthy
,BYD Atto 3,LFP,60.0,34.0,,27.3,1.0,2.13,Moderate,0.02,85.88,HEALTHY
b57d3bee,Hyundai Ioniq 5,NMC,72.6,93.0,909.0,42.74,0.71,2.79,,0.086,51.27,
ad1a36bc,Ford Mustang Mach-E,NMC,88.0,60.0,1562.0,42.43,0.856,3.19,Aggressive,0.08,63.86,Unhealthy
98e741f2,BYD Atto 3,,60.0,119.0,1725.0,38.92,0.776,2.46, Aggressive ,0.053,43.96,Unhealthy
8bcfe883,Wuling Air EV,LFP,26.0,118.0,1113.0,48.63,0.769,2.47,Moderate,0.076,51.24,Unhealthy
,Tesla Model 3,NMC,75.0,,612.0,20.1,0.35,1.87,Moderate,0.019,93.41,Healthy
d7069c80,,NMC,88.0,97.0,1321.0,43.14,0.951,3.34,,0.106,46.76,Unhealthy
429df14c,Ford Mustang Mach-E,NMC,88.0,107.0,1766.0,41.34,0.959,3.45,Moderate,0.101,,Unhealthy
ba2404bc,Ford Mustang Mach-E,NMC,88.0,17.0,86.0,35.4,0.26,2.41,Moderate,0.034,81.43,Healthy
edd8201a,BYD Atto 3,LFP,60.0,14.0,161.0,34.7,0.76,1.94,Aggressive,0.017,80.87,Healthy
,byd atto 3,LFP,60.0,83.0,907.0,27.5,0.51,1.05,Moderate,0.029,88.06,Healthy
c66eb392,Tesla Model 3,NMC,75.0,38.0,541.0,23.2,0.16,1.01,,0.045,88.02,Healthy
8aa345e3,Tesla Model 3,NMC,,105.0,1459.0,49.82,0.782,2.24,Aggressive,0.054,64.54,Unhealthy
73460aa8,Tesla Model 3,NMC,75.0,100.0,1433.0,35.91,0.759,2.75,Moderate,0.108,52.73,Unhealthy
45c2ee19,Ford Mustang Mach-E,nmc,88.0,101.0,,40.83,0.848,2.59,Aggressive,,39.98,Unhealthy
6ae69b3f,Wuling Air EV, LFP ,26.0,104.0,854.0,43.03,0.839,2.59,Aggressive,0.107,42.66,Unhealthy
9c7966d6,Wuling Air EV,,26.0,41.0,438.0,32.5,0.59,1.35,Moderate,0.025,96.12,Healthy
fa6b23e4,Tesla Model 3,NMC,75.0,,1544.0,38.48,0.85,2.4,aggressive,0.053,38.71,Unhealthy
8a0a7193,Hyundai Ioniq 5,NMC,72.6,50.0,360.0,16.6,0.82,0.62,Aggressive,0.032,,Healthy
427987a4,,LFP,,4.0,28.0,26.7,0.33,1.95,Moderate,0.044,82.22,Healthy
bce65ad7,Tesla Model 3,NMC,75.0,39.0,,33.7,0.32,2.31,Aggressive,0.015,82.65,Healthy
,Ford Mustang Mach-E,NMC,88.0,87.0,1321.0,35.06,0.912,2.25, Moderate ,0.087,68.85,
cab1dbfb,BYD Atto 3,LFP,60.0,95.0,1506.0,40.96,0.848,,Moderate,0.088,60.06,Unhealthy
3c94e970,Ford Mustang Mach-E,NMC,88.0,83.0,1220.0,,0.3,1.35,Aggressive,0.025,80.54,Healthy
e5c869b6,BYD Atto 3,LFP,,115.0,1105.0,48.95,0.873,2.95,Aggressive,0.063,41.84,Unhealthy
2169596a,,LFP,60.0,65.0,1387.0,42.97,0.741,3.43,Aggressive,0.101,42.7,Unhealthy
dad3c3ab,Ford Mustang Mach-E,NMC,88.0,64.0,1463.0,43.34,0.907,2.7,Aggressive,0.076,48.54,Unhealthy
DA536CA8,BYD Atto 3,LFP,60.0,3.0,,23.7,,,Conservative,0.04,81.29,Healthy
15664586,Hyundai Ioniq 5,NMC,72.6,18.0,258.0,44.6,0.59,2.18,Moderate,0.043,91.88,Healthy
b6b73d06,,NMC,88.0,61.0,904.0,43.32,0.867,,Aggressive,0.076,41.28,Unhealthy
63967475,Hyundai Ioniq 5,,72.6,44.0,,24.6,,1.13,Moderate,0.031,87.77,
c45bafc9,Tesla Model 3,NMC,75.0,81.0,1195.0,22.3,0.47,2.44,Moderate,0.015,93.74,Healthy
e0da6660,Ford Mustang Mach-E,NMC,88.0,116.0,1367.0,,0.722,2.95,Aggressive,0.077,59.55,Unhealthy
67c951cc,Hyundai Ioniq 5,NMC,72.6,30.0,,25.9,0.28,2.22,Aggressive,0.042,97.87,Healthy
24f64b17,Hyundai Ioniq 5,NMC,72.6,46.0,416.0,12.0,0.46,2.12,Moderate,0.016,91.86,Healthy
2b2e6637,Ford Mustang Mach-E,NMC,88.0,68.0,1050.0,49.05,0.716,2.41,Aggressive,0.053,48.5,Unhealthy
f94c58f1,Tesla Model 3,NMC,75.0,110.0,1585.0,42.77,0.728,3.16,Moderate,,62.6,Unhealthy
777e859d,Tesla Model 3,NMC,75.0,109.0,1378.0,44.91,,2.25,Moderate,0.079,51.57,Unhealthy
134e484d,Hyundai Ioniq 5,NMC,72.6,18.0,213.0,9.2,0.1,2.31,Aggressive,0.022,80.91,Healthy
5c46b172,Ford Mustang Mach-E,NMC,88.0,28.0,373.0,28.9,0.7,1.11,Aggressive,0.023,81.88,Healthy
df92ec73,Tesla Model 3,NMC,75.0,51.0,417.0,19.4,,1.53,Moderate,0.026,95.86,Healthy
,BYD Atto 3,LFP,60.0,,340.0,28.4,0.14,1.28,Moderate,0.038,89.49,Healthy
,Ford Mustang Mach-E,NMC,88.0,34.0,252.0,20.3,0.74,1.82,Aggressive,0.038,,Healthy
,byd atto 3,LFP,60.0,89.0,,38.61,0.938,2.48,Moderate,0.093,,Unhealthy
858d9cd1,BYD ATTO 3,LFP,60.0,103.0,1926.0,45.01,1.0,2.16,Aggressive,0.072,38.2,Unhealthy
,Ford Mustang Mach-E,NMC,88.0,83.0,770.0,35.5,0.42,,,0.035,95.42,Healthy
ad7db5b9,Ford Mustang Mach-E,nmc,88.0,22.0,262.0,26.1,0.03,1.13,Conservative,0.011,96.7,Healthy
1f76bd1e,BYD Atto 3,LFP,60.0,77.0,1285.0,35.17,0.93,3.25,Aggressive,0.053,53.28,Unhealthy
8b334fd6,Tesla Model 3,NMC,75.0,115.0,1748.0,45.94,0.94,3.26,Aggressive,0.098,36.43,Unhealthy
90d4415e,Ford Mustang Mach-E,,88.0,110.0,1544.0,41.25,0.728,,Aggressive,0.11,66.93,
d69732a3,Tesla Model 3,NMC,75.0,94.0,451.0,13.1,0.26,1.1,Conservative,0.03,97.1,Healthy
0b8e0453,Tesla Model 3,NMC,,72.0,,47.12,0.756,2.72,Aggressive,0.054,52.64,Unhealthy
1230817a,BYD Atto 3,LFP,60.0,108.0,1686.0,40.53,0.822,2.52,Aggressive,0.063,46.73,Unhealthy
a8fede7a,Tesla Model 3,NMC,75.0,9.0,113.0,44.0,0.09,1.49,CONSERVATIVE,0.036,89.99,
54079ed0,Hyundai Ioniq 5,NMC,72.6,34.0,417.0,29.8,,1.15,Aggressive,0.026,86.14,Healthy
,Ford Mustang Mach-E,NMC,88.0,109.0,1487.0,41.97,0.95,3.4,Aggressive,0.119,50.7,Unhealthy
69976b14,Wuling Air EV,LFP,26.0,96.0,,35.3,0.966,2.5,Aggressive,0.086,47.07,Unhealthy
ed292c66,Hyundai Ioniq 5,NMC,72.6,93.0,933.0,44.34,,3.05,Moderate,0.077,57.9,
8cb8d50b,BYD Atto 3,,60.0,97.0,1645.0,48.84,0.914,3.05,Moderate,0.055,69.59,Unhealthy
,Hyundai Ioniq 5,NMC,,,1675.0,38.74,0.785,3.1,Aggressive,0.059,52.21,Unhealthy
3fbbaeb5,Wuling Air EV,LFP,26.0,,912.0,42.51,0.981,3.26,Aggressive,0.076,43.79,Unhealthy
,BYD Atto 3,LFP,60.0,,899.0,26.4,0.27,,Moderate,0.043,97.31,Healthy
c586e3a8,Wuling Air EV,LFP,26.0,92.0,835.0,49.41,0.716,3.19,Aggressive,0.093,41.5,Unhealthy
bbbe4c32,Hyundai Ioniq 5,NMC,72.6,,1296.0,40.01,0.965,2.98,Aggressive,0.088,52.03,Unhealthy
79ea8096,Ford Mustang Mach-E,NMC,88.0,,973.0,40.11,0.799,2.58,aggressive,0.063,46.86,Unhealthy
29cad3ee,Wuling Air EV,,26.0,93.0,548.0,28.6,0.27,1.9,Moderate,0.039,89.85,Healthy
,BYD Atto 3,LFP,60.0,64.0,1866.0,44.91,0.85,3.33,Moderate,0.102,,Unhealthy
aae2ef75,Wuling Air EV,LFP,26.0,111.0,1404.0,43.04,0.725,2.36,Moderate,0.101,56.24,Unhealthy
FC0829C7,Tesla Model 3,NMC,75.0,85.0,1136.0,32.3,0.27,0.54,Aggressive,0.032,81.16,Healthy
c9f4cd28,BYD Atto 3,LFP,60.0,59.0,570.0,12.6,0.62,1.24,Moderate,0.012,91.57,Healthy
b598cbf8,Ford Mustang Mach-E,NMC,88.0,89.0,539.0,26.2,0.77,2.47,Moderate,0.033,90.58,
93f89c90,BYD Atto 3,LFP,60.0,43.0,631.0,30.1,,0.91,Conservative,0.042,96.12,Healthy
082fae8d,BYD Atto 3,LFP,60.0,91.0,673.0,33.9,0.57,1.92,Moderate,0.023,91.76,Healthy
878bf9df,Ford Mustang Mach-E,NMC,88.0,72.0,393.0,6.5,0.03,2.38,Moderate,0.039,86.28,Healthy
8a69c122,Tesla Model 3,NMC,75.0,95.0,1657.0,37.9,0.995,3.01,Aggressive,0.108,37.17,Unhealthy
fa837b96,Wuling Air EV,Lfp,26.0,78.0,1737.0,36.15,0.805,2.56,Aggressive,0.092,54.0,Unhealthy
4f02542e,Wuling Air EV,LFP,26.0,33.0,309.0,37.6,0.33,1.0,Moderate,0.021,97.39,Healthy
e982710c,Wuling Air EV,LFP,26.0,109.0,1189.0,41.15,0.982,2.39,Moderate,0.067,59.2,Unhealthy
f5245e92,Wuling Air EV,LFP,26.0,113.0,1634.0,41.45,0.982,,Aggressive,0.079,55.31,Unhealthy
0d59f255,,NMC,72.6,28.0,291.0,31.9,0.81,2.23,Aggressive,0.03,94.43,Healthy
46300e8a,Ford Mustang Mach-E,NMC,88.0,88.0,867.0,20.6,0.86,2.46,Conservative,0.033,91.35,Healthy
7001e9bf,Ford Mustang Mach-E,NMC,88.0,12.0,160.0,22.2,0.97,1.69,Conservative,0.034,85.27,
0a7abd3b,Wuling Air EV,LFP,26.0,41.0,461.0,35.9,0.36,0.66,Conservative,0.041,86.72,Healthy
2276d44e,Ford Mustang Mach-E,NMC,,23.0,,29.3,0.96,2.42,Moderate,,,Healthy
2fbe3e08,Ford Mustang Mach-E,NMC,88.0,67.0,907.0,25.7,0.63,2.35,Aggressive,0.019,81.3,Healthy
0ba58916,BYD Atto 3,LFP,60.0,4.0,36.0,32.7,0.21,1.52,Aggressive,0.035,84.62,Healthy
440938bb,Ford Mustang Mach-E,,88.0,17.0,164.0,24.7,0.79,1.04,Moderate,0.016,92.85,Healthy
,Wuling Air EV,,,71.0,1929.0,38.88,0.997,2.2,Moderate,0.112,65.38,Unhealthy
518b2515,Wuling Air EV,LFP,26.0,85.0,1998.0,43.35,0.929,2.67,Aggressive,0.104,65.24,UNHEALTHY
02e78221,Ford Mustang Mach-E,NMC,88.0,91.0,1344.0,20.1,0.73,,Moderate,0.026,88.64,Healthy
8b21c166,Ford Mustang Mach-E,NMC,88.0,8.0,102.0,31.6,0.87,1.06,Aggressive,0.011,87.24,Healthy
,Hyundai Ioniq 5,NMC,72.6,101.0,1549.0,37.87,0.965,3.5,Moderate,0.059,,Unhealthy
15695930,BYD Atto 3,LFP,,59.0,345.0,14.1,0.69,2.0,Moderate,0.015,82.73,Healthy
d5f419b5,BYD Atto 3,LFP,60.0,53.0,585.0,17.4,,1.59,Conservative,0.034,87.95,
95fa92fd,Tesla Model 3,NMC,75.0,39.0,250.0,27.2,0.36,1.59,Moderate,0.036,93.87,Healthy
f6c684b3,Wuling Air EV,LFP,26.0,88.0,1075.0,15.5,0.16,1.15,,0.014,84.75,Healthy
f0bf5cfc,Ford Mustang Mach-E,NMC,88.0,6.0,55.0,24.2,0.06,1.21,Moderate,0.018,80.1,Healthy
b18a4491,Hyundai Ioniq 5,NMC,72.6,43.0,,17.6,0.16,0.88,Moderate,,92.03,Healthy
,Tesla Model 3,NMC,75.0,55.0,621.0,23.8,0.2,2.18,Conservative,,97.51,Healthy
9fa24fc4,BYD Atto 3,LFP,60.0,29.0,327.0,37.6,0.49,1.24,Conservative,0.014,90.92,Healthy
baf62ff4,Ford Mustang Mach-E,NMC,88.0,78.0,1223.0,47.9,0.882,3.21,Aggressive,0.101,50.93,Unhealthy
f7361343,BYD Atto 3,,60.0,40.0,436.0,22.0,0.44,2.4,Moderate,0.025,82.16,Healthy
86d2bc95,,,88.0,62.0,310.0,22.0,0.9,1.98,Moderate,0.036,85.77,Healthy
05b65bff,Tesla Model 3,NMC,75.0,11.0,86.0,26.1,0.68,1.88,Conservative,0.034,95.62,Healthy
d9a40d73,Tesla Model 3,NMC,75.0,23.0,143.0,9.0,0.43,2.3,Conservative,0.02,,Healthy
9ea347f5,Wuling Air EV,LFP,26.0,106.0,1377.0,,0.796,,Aggressive,0.082,37.61,Unhealthy
,Hyundai Ioniq 5,NMC,72.6,37.0,448.0,42.2,0.4,1.45,,0.034,90.94,Healthy
,Wuling Air EV,LFP,26.0,87.0,1886.0,39.63,0.706,2.23,Aggressive,0.093,42.87,Unhealthy
110e68ff,BYD Atto 3,LFP,,72.0,,34.0,0.36,1.25,Moderate,0.042,87.25,Healthy
297595c7,Ford Mustang Mach-E,NMC,88.0,7.0,,33.0,0.67,1.15,CONSERVATIVE,,83.74,Healthy
,Hyundai Ioniq 5,NMC,72.6,88.0,,19.2,,1.59,Conservative,0.022,94.64,Healthy
5810a0f5,Ford Mustang Mach-E,NMC,88.0,68.0,979.0,,0.81,,Conservative,0.03,93.37,Healthy
696d6743,TESLA MODEL 3,NMC,75.0,82.0,,44.1,0.773,2.14,Moderate,0.056,,Unhealthy
,Tesla Model 3,NMC,,87.0,1892.0,35.74,0.93,3.46,Aggressive,0.1,,Unhealthy
e7a75447,Ford Mustang Mach-E,NMC,88.0,62.0,616.0,21.5,0.15,1.14,Moderate,,91.91,
2A71Bc9F,Tesla Model 3,NMC,75.0,14.0,116.0,17.8,0.17,2.22,Moderate,0.033,,Healthy
991f4524,Tesla Model 3,NMC,75.0,6.0,73.0,16.5,0.07,1.7,Moderate,0.039,81.76,Healthy
19651eae,Tesla Model 3,NMC,75.0,94.0,1372.0,35.2,0.91,1.93,Moderate,,90.37,Healthy
4b921502,Hyundai Ioniq 5,NMC,72.6,61.0,406.0,33.7,0.72,1.44,Aggressive,0.034,89.97,Healthy
770451a3,BYD Atto 3,LFP,60.0,52.0,344.0,21.7,0.86,,Conservative,0.033,83.39,Healthy
72042c97,,NMC,75.0,115.0,1261.0,39.22,0.939,3.19,Aggressive,0.066,37.16,Unhealthy
6acf6f75,Tesla Model 3,NMC,75.0,76.0,702.0,36.0,0.38,1.56,Moderate,0.011,81.01,Healthy
242d0fa9,Wuling Air EV,lfp,26.0,28.0,230.0,39.3,0.03,1.43,Moderate,0.016,81.45,Healthy
cc73d873,BYD Atto 3,LFP,60.0,115.0,1706.0,45.41,0.904,2.04,Moderate,0.107,61.04,Unhealthy
f4468fd6,Wuling Air EV,LFP,26.0,,1378.0,41.58,0.813,3.44,Moderate,0.067,64.98,Unhealthy
c831af1b,,LFP,60.0,96.0,1780.0,44.9,0.757,2.58,Aggressive,0.069,38.37,Unhealthy
ed61201e,Tesla Model 3,NMC,75.0,71.0,416.0,11.4,0.41,0.72,Conservative,0.041,97.87,Healthy
ee316742,Tesla Model 3,NMC,75.0,54.0,454.0,16.5,0.01,0.89,Aggressive,,94.1,Healthy
,Hyundai Ioniq 5,NMC,72.6,119.0,1302.0,36.36,0.969,2.77,Aggressive,0.095,54.98,Unhealthy
9c11f5ef,BYD Atto 3,LFP,60.0,5.0,32.0,26.3,0.84,2.11,,0.037,96.6,Healthy
0417369c, Ford Mustang Mach-E ,NMC,88.0,15.0,208.0,21.8,0.55,0.57,Aggressive,0.042,83.51,Healthy
,Wuling Air EV,LFP,26.0,66.0,721.0,30.6,0.03,2.36,Conservative,0.021,97.29,Healthy
8c15a162,BYD Atto 3,LFP,,,1211.0,41.92,0.931,2.98,Aggressive,0.061,69.31,Unhealthy
022e2696,BYD Atto 3,LFP,60.0,82.0,1329.0,,0.935,2.13,Moderate,0.058,55.96,Unhealthy
979b6981,Tesla Model 3,NMC,75.0,81.0,1427.0,,0.752,2.08,Aggressive,0.055,54.46,Unhealthy
57eaf476,Ford Mustang Mach-E,NMC,,63.0,820.0,40.65,0.881,3.22,Aggressive,0.079,54.22,Unhealthy
e2c406b7,Wuling Air EV,LFP,26.0,116.0,,37.16,0.908,2.18,Aggressive,0.08,38.84,Unhealthy
3d33410e,Tesla Model 3,NMC,75.0,74.0,885.0,42.02,0.812,2.13,Aggressive,0.066,36.4,Unhealthy
98117df8,Wuling Air EV,LFP,26.0,87.0,943.0,24.9,0.17,,MODERATE,0.019,82.57,Healthy
e3f6158a,BYD Atto 3,LFP,60.0,65.0,800.0,26.9,0.4,2.47,Conservative,0.023,89.16,Healthy
,BYD Atto 3,LFP,60.0,60.0,300.0,31.8,0.34,2.0,Moderate,0.012,94.93,Healthy
8e21e54d,BYD Atto 3,LFP,,99.0,1402.0,,0.842,3.19,Aggressive,0.088,61.18,Unhealthy
f8db3d4b,Wuling Air EV,LFP,26.0,89.0,501.0,15.4,0.8,0.85,Conservative,0.038,86.3,Healthy
af5b282f,Ford Mustang Mach-E,NMC,88.0,15.0,82.0,21.2,0.81,0.68,Aggressive,,87.65,Healthy
3bf219b2,Wuling Air EV,LFP,26.0,66.0,806.0,35.55,0.802,2.72,,,69.0,Unhealthy
c8e90e77,Hyundai Ioniq 5,NMC,72.6,11.0,133.0,,0.59,1.8,Moderate,0.039,82.31,Healthy
A256FB85,Byd Atto 3,LFP,60.0,15.0,122.0,14.7,0.24,1.11,Conservative,0.029,82.21,Healthy
5a3abef3,Ford Mustang Mach-E,NMC,88.0,88.0,1314.0,20.5,,1.99,Conservative,0.02,91.15,Healthy
,Tesla Model 3,NMC,75.0,4.0,31.0,19.7,0.74,1.93,Moderate,0.017,92.16,Healthy
1c58080a,Ford Mustang Mach-E,,88.0,13.0,86.0,29.0,0.47,2.38,Moderate,,93.99,Healthy
1f86b204,Ford Mustang Mach-E,,88.0,65.0,926.0,32.2,0.48,0.64,Conservative,0.033,,Healthy
fbfafff2,Tesla Model 3,NMC,75.0,79.0,774.0,30.5,0.15,2.38,Conservative,0.026,91.62,Healthy
21520e38,Tesla Model 3,NMC,75.0,74.0,1801.0,39.79,,2.09,Moderate,0.059,,Unhealthy
209fc102,Tesla Model 3,NMC,75.0,57.0,596.0,23.3,0.1,2.16,Moderate,0.043,80.24,Healthy
,Wuling Air EV,LFP,26.0,76.0,1630.0,40.55,0.874,2.04,Aggressive,0.057,46.75,Unhealthy
,Wuling Air EV,LFP,26.0,97.0,1699.0,43.88,,2.86,Aggressive,0.114,45.29,Unhealthy
b599187a,Ford Mustang Mach-E,NMC,88.0,53.0,485.0,30.1,0.86,2.14,Aggressive,0.04,82.92,Healthy
725bfd0f,Tesla Model 3,NMC,75.0,,792.0,26.2,0.2,2.48,Moderate,0.014,97.73,Healthy
8834ad1d,Hyundai Ioniq 5,NMC,72.6,92.0,1358.0,,1.0,,moderate,0.015,81.37,Healthy
11bca86b,Hyundai Ioniq 5,NMC,72.6,22.0,281.0,22.3,0.23,0.76,Moderate,0.034,92.22,Healthy
2988315d,Hyundai Ioniq 5,NMC,72.6,83.0,821.0,39.2,0.21,1.6,Aggressive,0.018,83.17,Healthy
9f5b3539,Ford Mustang Mach-E,NMC,88.0,69.0,1012.0,34.8,0.69,,,0.038,92.9,Healthy
,Wuling Air EV,LFP,26.0,,189.0,21.8,0.3,1.97,Conservative,0.031,92.71,Healthy
,BYD Atto 3,LFP,60.0,39.0,228.0,28.4,0.43,1.66,Aggressive,0.018,84.22,Healthy
aaf89fec,Wuling Air EV,LFP,26.0,67.0,1007.0,40.72,0.914,2.46,Aggressive,0.056,,Unhealthy
064a01b4,Tesla Model 3,NMC,75.0,,1173.0,38.24,0.935,2.27,Moderate,,62.5,Unhealthy
3eae86b5,BYD Atto 3,LFP,60.0,66.0,1432.0,46.6,,2.37,Aggressive,0.086,42.9,Unhealthy
7f3611e7,Ford Mustang Mach-E,NMC,88.0,100.0,1091.0,45.43,0.887,2.55,Aggressive,0.075,37.94,Unhealthy
67706f19,Hyundai Ioniq 5,NMC,72.6,81.0,1688.0,48.06,0.873,3.48,,0.089,,Unhealthy
a5f581b9,Ford Mustang Mach-E,NMC,88.0,55.0,454.0,13.7,0.89,1.23,Moderate,0.027,84.85,
,BYD Atto 3,LFP,60.0,103.0,1112.0,45.92,0.919,3.01,Aggressive,0.07,35.25,Unhealthy
ad323705,,NMC,75.0,14.0,92.0,37.7,0.17,1.74,Aggressive,0.024,,Healthy
935a2bab,WULING AIR EV,LFP,26.0,118.0,1056.0,,0.907,2.66,,0.075,,Unhealthy
,Tesla Model 3,NMC,75.0,93.0,1650.0,38.32,0.88,2.69,Aggressive,0.059,58.6,UNHEALTHY
23D97CB9,Hyundai Ioniq 5,NMC,72.6,89.0,970.0,43.83,0.719,2.71,Aggressive,0.064,40.99,
2cb1eccc,BYD Atto 3,LFP,60.0,42.0,311.0,34.0,,2.28,Moderate,0.041,87.02,Healthy
fd90ca7a,Hyundai Ioniq 5,NMC,72.6,115.0,1444.0,46.85,0.901,2.45,Aggressive,0.07,38.04,Unhealthy
19717747,,,75.0,112.0,1543.0,,0.933,2.79,Aggressive,0.062,47.3,Unhealthy
6d06c200,Ford Mustang Mach-E,NMC,88.0,88.0,1470.0,40.96,0.904,3.01,Moderate,0.075,50.37,
f501e641,Wuling Air EV,LFP,26.0,13.0,183.0,19.7,0.55,2.46,Moderate,,83.5,Healthy
6f725e69,BYD Atto 3,LFP,60.0,12.0,50.0,20.7,0.46,2.25,Aggressive,0.041,93.17,Healthy
ba04b9ae,Tesla Model 3,NMC,75.0,57.0,540.0,32.3,0.45,1.2,Aggressive,0.033,82.77,
